Pct1_Name,Pct2_Name,Pct3_Name,District_White,District_Non_White,District_Size,Pct1_White,Pct2_White,Pct3_White,Pct1_Non_White,Pct2_Non_White,Pct3_Non_White
Holbrook 1,Holbrook 2,Braintree 6A,16474,25414,41888,1403,2444,2622,555,607,290
Holbrook 1,Holbrook 2,Holbrook 3,16109,26633,42742,1403,2444,2257,555,607,1509
Holbrook 1,Holbrook 3,Holbrook 2,16109,26633,42742,1403,2257,2444,555,1509,607
Holbrook 1,Holbrook 3,Holbrook 4,15524,26789,42313,1403,2257,1859,555,1509,763
Holbrook 1,Holbrook 3,Avon 1,16889,27254,44143,1403,2257,3224,555,1509,1228
Holbrook 1,Holbrook 4,Avon 1,16491,26508,42999,1403,1859,3224,555,763,1228
Holbrook 1,Holbrook 4,Holbrook 3,15524,26789,42313,1403,1859,2257,555,763,1509
Holbrook 1,Braintree 6B,Braintree 1A,16453,25282,41735,1403,2379,2666,555,429,336
Holbrook 1,Braintree 6B,Braintree 5B,16012,25869,41881,1403,2379,2225,555,429,923
Holbrook 1,Braintree 6B,Braintree 6A,16409,25236,41645,1403,2379,2622,555,429,290
Holbrook 4,Avon 1,Stoughton 1,17625,27373,44998,1859,3224,2537,763,1228,1420
Holbrook 4,Avon 1,Stoughton 2,17497,26940,44437,1859,3224,2409,763,1228,987
Holbrook 4,Avon 1,Holbrook 3,17345,27462,44807,1859,3224,2257,763,1228,1509
Holbrook 4,Holbrook 1,Holbrook 2,15711,25887,41598,1859,1403,2444,763,555,607
Holbrook 4,Holbrook 1,Holbrook 3,15524,26789,42313,1859,1403,2257,763,555,1509
Holbrook 4,Holbrook 1,Braintree 6B,15646,25709,41355,1859,1403,2379,763,555,429
Holbrook 4,Holbrook 3,Holbrook 1,15524,26789,42313,1859,2257,1403,763,1509,555
Holbrook 4,Holbrook 3,Holbrook 2,16565,26841,43406,1859,2257,2444,763,1509,607
Holbrook 4,Holbrook 3,Avon 1,17345,27462,44807,1859,2257,3224,763,1509,1228
Avon 1,Stoughton 1,Canton 3,18338,27873,46211,3224,2537,2572,1228,1420,1263
Avon 1,Stoughton 1,Stoughton 2,18175,27597,45772,3224,2537,2409,1228,1420,987
Avon 1,Stoughton 1,Stoughton 8,18486,27779,46265,3224,2537,2720,1228,1420,1169
Avon 1,Stoughton 2,Stoughton 1,18175,27597,45772,3224,2409,2537,1228,987,1420
Avon 1,Stoughton 2,Stoughton 3,17867,27470,45337,3224,2409,2229,1228,987,1293
Avon 1,Stoughton 2,Stoughton 5,18423,27217,45640,3224,2409,2785,1228,987,1040
Avon 1,Stoughton 2,Stoughton 8,18358,27346,45704,3224,2409,2720,1228,987,1169
Avon 1,Holbrook 3,Holbrook 1,16889,27254,44143,3224,2257,1403,1228,1509,555
Avon 1,Holbrook 3,Holbrook 2,17930,27306,45236,3224,2257,2444,1228,1509,607
Avon 1,Holbrook 3,Holbrook 4,17345,27462,44807,3224,2257,1859,1228,1509,763
Avon 1,Holbrook 4,Holbrook 1,16491,26508,42999,3224,1859,1403,1228,763,555
Avon 1,Holbrook 4,Holbrook 3,17345,27462,44807,3224,1859,2257,1228,763,1509
Stoughton 1,Canton 3,Canton 2,18099,27207,45306,2537,2572,2985,1420,1263,562
Stoughton 1,Canton 3,Canton 4,18721,27175,45896,2537,2572,3607,1420,1263,530
Stoughton 1,Avon 1,Stoughton 2,18175,27597,45772,2537,3224,2409,1420,1228,987
Stoughton 1,Avon 1,Holbrook 3,18023,28119,46142,2537,3224,2257,1420,1228,1509
Stoughton 1,Avon 1,Holbrook 4,17625,27373,44998,2537,3224,1859,1420,1228,763
Stoughton 1,Stoughton 2,Stoughton 3,17180,27662,44842,2537,2409,2229,1420,987,1293
Stoughton 1,Stoughton 2,Stoughton 5,17736,27409,45145,2537,2409,2785,1420,987,1040
Stoughton 1,Stoughton 2,Stoughton 8,17671,27538,45209,2537,2409,2720,1420,987,1169
Stoughton 1,Stoughton 2,Avon 1,18175,27597,45772,2537,2409,3224,1420,987,1228
Stoughton 1,Stoughton 8,Stoughton 7,17581,27628,45209,2537,2720,2319,1420,1169,1077
Stoughton 1,Stoughton 8,Stoughton 5,18047,27591,45638,2537,2720,2785,1420,1169,1040
Stoughton 1,Stoughton 8,Stoughton 2,17671,27538,45209,2537,2720,2409,1420,1169,987
Stoughton 1,Stoughton 8,Stoughton 6,18026,27332,45358,2537,2720,2764,1420,1169,781
Canton 3,Canton 2,Canton 1,19493,26567,46060,2572,2985,3931,1263,562,780
Canton 3,Canton 2,Canton 4,19169,26317,45486,2572,2985,3607,1263,562,530
Canton 3,Canton 2,Canton 5,18797,26462,45259,2572,2985,3235,1263,562,675
Canton 3,Canton 2,Canton 6,18144,26460,44604,2572,2985,2582,1263,562,673
Canton 3,Canton 2,Stoughton 7,17881,26864,44745,2572,2985,2319,1263,562,1077
Canton 3,Canton 4,Canton 2,19169,26317,45486,2572,3607,2985,1263,530,562
Canton 3,Canton 4,Canton 5,19419,26430,45849,2572,3607,3235,1263,530,675
Canton 3,Canton 4,Milton 5,18302,26380,44682,2572,3607,2118,1263,530,625
Canton 3,Stoughton 1,Avon 1,18338,27873,46211,2572,2537,3224,1263,1420,1228
Canton 3,Stoughton 1,Stoughton 2,17523,27632,45155,2572,2537,2409,1263,1420,987
Canton 3,Stoughton 1,Stoughton 8,17834,27814,45648,2572,2537,2720,1263,1420,1169
Canton 4,Canton 2,Canton 1,20528,25834,46362,3607,2985,3931,530,562,780
Canton 4,Canton 2,Canton 3,19169,26317,45486,3607,2985,2572,530,562,1263
Canton 4,Canton 2,Canton 5,19832,25729,45561,3607,2985,3235,530,562,675
Canton 4,Canton 2,Canton 6,19179,25727,44906,3607,2985,2582,530,562,673
Canton 4,Canton 2,Stoughton 7,18916,26131,45047,3607,2985,2319,530,562,1077
Canton 4,Canton 3,Canton 2,19169,26317,45486,3607,2572,2985,530,1263,562
Canton 4,Canton 3,Stoughton 1,18721,27175,45896,3607,2572,2537,530,1263,1420
Canton 4,Canton 5,Canton 2,19832,25729,45561,3607,3235,2985,530,675,562
Canton 4,Canton 5,Canton 6,19429,25840,45269,3607,3235,2582,530,675,673
Canton 4,Milton 5,Milton 1,16790,27325,44115,3607,2118,1060,530,625,2208
Canton 4,Milton 5,Milton 5,17848,25742,43590,3607,2118,2118,530,625,625
Canton 4,Milton 5,Milton 9,17638,25569,43207,3607,2118,1908,530,625,452
Milton 5,Canton 4,Canton 2,18715,25679,44394,2118,3607,2985,625,530,562
